id,studyID,trial_registration_no,studyID_ROB,trt,pre_n,n,mean_diff,mean_diff_sd,outcome,response,age_mean,adult,length,pc_female,pre_mean,pre_sd,country,daily_dose,session_duration,sessions,weekly_dose,bmi_score,bmi,comorbid,vitD_suppl,D1,D2,D3,D4,D5,overall
601,Uusi-Rasi 2017,,Uusi-Rasi 2017,Control,,102,-0.012,0.04,Femoral BMD,,73.8,older adults,104,100%,0.872,0.141,Finland,72,60,2,0,27,Overweight,Not reported,Reported,Low,Low,Low,Low,Low,Low
602,Uusi-Rasi 2017,,Uusi-Rasi 2017,Combined aerobic/resistance,,103,-0.01,0.04,Femoral BMD,,74.8,older adults,104,100%,0.848,0.115,Finland,153,60,2,306,27.4,Overweight,Not reported,Reported,Low,Low,Low,Low,Low,Low
603,Uusi-Rasi 2017,,Uusi-Rasi 2017,Control,,204,,,Fracture,4,73.8,older adults,104,100%,,,Finland,72,60,2,0,27,Overweight,Not reported,Reported,Low,Low,Low,Low,Low,Low
604,Uusi-Rasi 2017,,Uusi-Rasi 2017,Combined aerobic/resistance,,205,,,Fracture,3,74.8,older adults,104,100%,,,Finland,153,60,2,306,27.4,Overweight,Not reported,Reported,Low,Low,Low,Low,Low,Low
605,Verschueren 2004,,Verschueren 2004,Control,23,23,-0.006,0.107,Femoral BMD,,64.2,older adults,26,100%,0.846,0.109,Belgium,72,60,3,0,26.5,Overweight,Not reported,Not reported,Some concern,Some concern,Some concern,Low,Low,Some concern
606,Verschueren 2004,,Verschueren 2004,Resistance,22,22,-0.005,0.1,Femoral BMD,,63.9,older adults,26,100%,0.841,0.094,Belgium,300,60,3,900,27.4,Overweight,Not reported,Not reported,Some concern,Some concern,Some concern,Low,Low,Some concern
607,Verschueren 2004,,Verschueren 2004,Whole body vibration,25,25,0.008,0.135,Femoral BMD,,64.6,older adults,26,100%,0.878,0.136,Belgium,90,30,3,270,26.3,Overweight,Not reported,Not reported,Some concern,Some concern,Some concern,Low,Low,Some concern
608,Verschueren 2004,,Verschueren 2004,Control,23,23,0.004,0.072,Lumbar BMD,,64.2,older adults,26,100%,0.926,0.146,Belgium,72,60,3,0,26.5,Overweight,Not reported,Not reported,Some concern,Some concern,Some concern,Low,Low,Some concern
609,Verschueren 2004,,Verschueren 2004,Resistance,22,22,0.001,0.066,Lumbar BMD,,63.9,older adults,26,100%,0.9,0.136,Belgium,300,60,3,900,27.4,Overweight,Not reported,Not reported,Some concern,Some concern,Some concern,Low,Low,Some concern
610,Verschueren 2004,,Verschueren 2004,Whole body vibration,25,25,-0.003,0.144,Lumbar BMD,,64.6,older adults,26,100%,0.904,0.143,Belgium,90,30,3,270,26.3,Overweight,Not reported,Not reported,Some concern,Some concern,Some concern,Low,Low,Some concern
611,Villareal 2020,NCT01065636,Villareal 2020,Control,40,40,-0.001,0.003,Femoral BMD,,70,older adults,26,70%,0.806,0.023,USA,72,60,3,0,36.5,Obese,Not reported,Reported,Low,Low,Low,Low,Low,Low
612,Villareal 2020,NCT01065636,Villareal 2020,Mixed aerobic exercises,40,40,-0.02,0.003,Femoral BMD,,70,older adults,26,65%,0.812,0.022,USA,200,60,3,600,35.9,Obese,Not reported,Reported,Low,Low,Low,Low,Low,Low
613,Villareal 2020,NCT01065636,Villareal 2020,Resistance,40,40,-0.003,0.003,Femoral BMD,,70,older adults,26,63%,0.804,0.02,USA,240,60,3,720,36.7,Obese,Not reported,Reported,Low,Low,Low,Low,Low,Low
614,Villareal 2020,NCT01065636,Villareal 2020,Combined aerobic/resistance,40,40,-0.008,0.003,Femoral BMD,,70,older adults,26,60%,0.797,0.027,USA,440,75,3,1320,35.9,Obese,Not reported,Reported,Low,Low,Low,Low,Low,Low
615,Villareal 2020,NCT01065636,Villareal 2020,Control,40,40,0.01,0.006,Lumbar BMD,,70,older adults,26,70%,1.141,0.033,USA,72,60,3,0,36.5,Obese,Not reported,Reported,Low,Low,Low,Low,Low,Low
616,Villareal 2020,NCT01065636,Villareal 2020,Mixed aerobic exercises,40,40,0.002,0.006,Lumbar BMD,,70,older adults,26,65%,1.118,0.022,USA,200,60,3,600,35.9,Obese,Not reported,Reported,Low,Low,Low,Low,Low,Low
617,Villareal 2020,NCT01065636,Villareal 2020,Resistance,40,40,0.008,0.006,Lumbar BMD,,70,older adults,26,63%,1.144,0.033,USA,240,60,3,720,36.7,Obese,Not reported,Reported,Low,Low,Low,Low,Low,Low
618,Villareal 2020,NCT01065636,Villareal 2020,Combined aerobic/resistance,40,40,0.008,0.005,Lumbar BMD,,70,older adults,26,60%,1.157,0.033,USA,440,60,3,1320,35.9,Obese,Not reported,Reported,Low,Low,Low,Low,Low,Low
619,Villareal 2020,NCT01065636,Villareal 2020,Control,40,40,0.002,0.004,Hip total BMD,,70,older adults,26,70%,1.031,0.025,USA,72,60,3,0,36.5,Obese,Not reported,Reported,Low,Low,Low,Low,Low,Low
620,Villareal 2020,NCT01065636,Villareal 2020,Mixed aerobic exercises,40,40,-0.027,0.004,Hip total BMD,,70,older adults,26,65%,1.018,0.019,USA,200,60,3,600,35.9,Obese,Not reported,Reported,Low,Low,Low,Low,Low,Low
621,Villareal 2020,NCT01065636,Villareal 2020,Resistance,40,40,-0.006,0.004,Hip total BMD,,70,older adults,26,63%,1.047,0.022,USA,240,60,3,720,36.7,Obese,Not reported,Reported,Low,Low,Low,Low,Low,Low
622,Villareal 2020,NCT01065636,Villareal 2020,Combined aerobic/resistance,40,40,-0.012,0.004,Hip total BMD,,70,older adults,26,60%,1.01,0.025,USA,440,60,3,1320,35.9,Obese,Not reported,Reported,Low,Low,Low,Low,Low,Low
623,Vincent 2001,,Vincent 2001,Control,20,16,-0.015,0.1,Femoral BMD,,71,older adults,26,50%,0.863,0.1,USA,72,60,3,0,24.9,Healthy BMI,Not reported,Not reported,Some concern,Some concern,Low,Low,Some concern,Some concern
624,Vincent 2001,,Vincent 2001,Resistance,34,24,0.007,0.19,Femoral BMD,,67.6,older adults,26,50%,0.893,0.2,USA,105,60,3,315,24.2,Healthy BMI,Not reported,Not reported,Some concern,Some concern,Low,Low,Some concern,Some concern
625,Vincent 2001,,Vincent 2001,Resistance,30,22,0.017,0.1,Femoral BMD,,66.6,older adults,26,50%,0.852,0.1,USA,180,60,3,540,23.9,Healthy BMI,Not reported,Not reported,Some concern,Some concern,Low,Low,Some concern,Some concern
626,Vincent 2001,,Vincent 2001,Control,20,16,-0.006,0.2,Lumbar BMD,,71,older adults,26,50%,1.228,0.2,USA,72,60,3,0,24.9,Healthy BMI,Not reported,Not reported,Some concern,Some concern,Low,Low,Some concern,Some concern
627,Vincent 2001,,Vincent 2001,Resistance,34,24,-0.004,0.2,Lumbar BMD,,67.6,older adults,26,50%,1.186,0.2,USA,105,60,3,315,24.2,Healthy BMI,Not reported,Not reported,Some concern,Some concern,Low,Low,Some concern,Some concern
628,Vincent 2001,,Vincent 2001,Resistance,30,22,-0.009,0.2,Lumbar BMD,,66.6,older adults,26,50%,1.197,0.2,USA,180,60,3,540,23.9,Healthy BMI,Not reported,Not reported,Some concern,Some concern,Low,Low,Some concern,Some concern
629,Von Stengel 2011,NCT00292916,Von Stengel 2011,Control,51,48,0.004,0.031,Lumbar BMD,,68.1,older adults,78,100%,0.957,0.166,Germany,72,60,2,0,27.5,Overweight,Not reported,Not reported,Low,Low,Low,Low,Low,Low
630,Von Stengel 2011,NCT00292916,Von Stengel 2011,Combined aerobic/resistance,50,47,0.019,0.031,Lumbar BMD,,68.6,older adults,78,100%,0.927,0.168,Germany,346,60,2,692,26.2,Overweight,Not reported,Not reported,Low,Low,Low,Low,Low,Low
631,Von Stengel 2011,NCT00292916,Von Stengel 2011,Whole body vibration,50,50,0.014,0.022,Lumbar BMD,,68,older adults,78,100%,0.937,0.153,Germany,42,15,3,126,26.9,Overweight,Not reported,Not reported,Low,Low,Low,Low,Low,Low
632,Waltman 2022,,Waltman 2022,Control,92,76,-0.003,0.072,Femoral BMD,,54.3,adults,52,100%,0.686,0.071,USA,72,60,3,0,25.9,Overweight,Not reported,Reported,Low,Low,Low,Low,Low,Low
633,Waltman 2022,,Waltman 2022,Combined aerobic/resistance,92,72,0.004,0.076,Femoral BMD,,54.4,adults,52,100%,0.702,0.073,USA,220,60,3,660,25.9,Overweight,Not reported,Reported,Low,Low,Low,Low,Low,Low
634,Waltman 2022,,Waltman 2022,Control,92,85,0.002,0.102,Femoral BMD,,54.3,adults,26,100%,0.686,0.071,USA,72,60,3,0,25.9,Overweight,Not reported,Reported,Low,Low,Low,Low,Low,Low
635,Waltman 2022,,Waltman 2022,Combined aerobic/resistance,92,82,0.002,0.103,Femoral BMD,,54.4,adults,26,100%,0.702,0.073,USA,220,60,3,660,25.9,Overweight,Not reported,Reported,Low,Low,Low,Low,Low,Low
636,Waltman 2022,,Waltman 2022,Control,93,77,-0.004,0.073,Lumbar BMD,,54.3,adults,52,100%,0.889,0.076,USA,72,60,3,0,25.9,Overweight,Not reported,Reported,Low,Low,Low,Low,Low,Low
637,Waltman 2022,,Waltman 2022,Combined aerobic/resistance,92,72,-0.001,0.065,Lumbar BMD,,54.4,adults,52,100%,0.886,0.064,USA,220,60,3,660,25.9,Overweight,Not reported,Reported,Low,Low,Low,Low,Low,Low
638,Waltman 2022,,Waltman 2022,Control,93,86,-0.002,0.107,Lumbar BMD,,54.3,adults,26,100%,0.889,0.076,USA,72,60,3,0,25.9,Overweight,Not reported,Reported,Low,Low,Low,Low,Low,Low
639,Waltman 2022,,Waltman 2022,Combined aerobic/resistance,92,82,-0.008,0.098,Lumbar BMD,,54.4,adults,26,100%,0.886,0.064,USA,220,60,3,660,25.9,Overweight,Not reported,Reported,Low,Low,Low,Low,Low,Low
640,Waltman 2022,,Waltman 2022,Control,93,77,0.004,0.096,Hip total BMD,,54.3,adults,52,100%,0.828,0.067,USA,72,60,3,0,25.9,Overweight,Not reported,Reported,Low,Low,Low,Low,Low,Low
641,Waltman 2022,,Waltman 2022,Combined aerobic/resistance,92,72,0.01,0.114,Hip total BMD,,54.4,adults,52,100%,0.848,0.074,USA,220,60,3,660,25.9,Overweight,Not reported,Reported,Low,Low,Low,Low,Low,Low
642,Waltman 2022,,Waltman 2022,Control,93,85,0.005,0.096,Hip total BMD,,54.3,adults,26,100%,0.828,0.067,USA,72,60,3,0,25.9,Overweight,Not reported,Reported,Low,Low,Low,Low,Low,Low
643,Waltman 2022,,Waltman 2022,Combined aerobic/resistance,92,82,0.007,0.107,Hip total BMD,,54.4,adults,26,100%,0.848,0.074,USA,220,60,3,660,25.9,Overweight,Not reported,Reported,Low,Low,Low,Low,Low,Low
644,Wang 2015,,Wang 2015,Control,,35,-0.03,0.039,Femoral BMD,,58.5,adults,52,100%,0.84,0.11,China,72,60,4,0,23.9,Healthy BMI,Not reported,Not reported,Some concern,Some concern,Low,Low,Some concern,Some concern
645,Wang 2015,,Wang 2015,Combined aerobic/resistance,,37,0.004,0.028,Femoral BMD,,57.9,adults,52,100%,0.87,0.12,China,300,60,4,1200,23.2,Healthy BMI,Not reported,Not reported,Some concern,Some concern,Low,Low,Some concern,Some concern
646,Wang 2015,,Wang 2015,Mind-body exercises,,34,0.005,0.08,Femoral BMD,,58.5,adults,52,100%,0.84,0.14,China,180,60,4,720,23.9,Healthy BMI,Not reported,Not reported,Some concern,Some concern,Low,Low,Some concern,Some concern
647,Wang 2015,,Wang 2015,Control,,35,-0.004,0.03,Lumbar BMD,,58.5,adults,52,100%,1.02,0.14,China,72,60,4,0,23.9,Healthy BMI,Not reported,Not reported,Some concern,Some concern,Low,Low,Some concern,Some concern
648,Wang 2015,,Wang 2015,Combined aerobic/resistance,,37,0.018,0.043,Lumbar BMD,,57.9,adults,52,100%,1.08,0.17,China,300,60,4,1200,23.2,Healthy BMI,Not reported,Not reported,Some concern,Some concern,Low,Low,Some concern,Some concern
649,Wang 2015,,Wang 2015,Mind-body exercises,,34,0.011,0.036,Lumbar BMD,,58.5,adults,52,100%,1.03,0.15,China,180,60,4,720,23.9,Healthy BMI,Not reported,Not reported,Some concern,Some concern,Low,Low,Some concern,Some concern
650,Watanabe 2021,UMIN000041678,Watanabe 2021,Control,27,27,0.013,0.14,Femoral BMD,,64,older adults,26,22%,0.648,0.141,Japan,36,30,4,0,23.3,Healthy BMI,Not reported,Not reported,Low,Low,Some concern,Low,Low,Some concern
651,Watanabe 2021,UMIN000041678,Watanabe 2021,Combined aerobic/resistance,26,26,0.028,0.12,Femoral BMD,,66.2,older adults,26,23%,0.611,0.127,Japan,158,30,4,632,22.5,Healthy BMI,Not reported,Not reported,Low,Low,Some concern,Low,Low,Some concern
652,Watanabe 2021,UMIN000041678,Watanabe 2021,Control,27,27,0.048,0.2,Lumbar BMD,,64,older adults,26,22%,0.991,0.195,Japan,36,30,4,0,23.3,Healthy BMI,Not reported,Not reported,Low,Low,Some concern,Low,Low,Some concern
653,Watanabe 2021,UMIN000041678,Watanabe 2021,Combined aerobic/resistance,26,26,0.037,0.18,Lumbar BMD,,66.2,older adults,26,23%,0.958,0.182,Japan,158,30,4,632,22.5,Healthy BMI,Not reported,Not reported,Low,Low,Some concern,Low,Low,Some concern
654,Watanabe 2021,UMIN000041678,Watanabe 2021,Control,27,27,0.018,0.165,Hip total BMD,,64,older adults,26,22%,0.761,0.164,Japan,36,30,4,0,23.3,Healthy BMI,Not reported,Not reported,Low,Low,Some concern,Low,Low,Some concern
655,Watanabe 2021,UMIN000041678,Watanabe 2021,Combined aerobic/resistance,26,26,0.021,0.136,Hip total BMD,,66.2,older adults,26,23%,0.72,0.147,Japan,158,30,4,632,22.5,Healthy BMI,Not reported,Not reported,Low,Low,Some concern,Low,Low,Some concern
656,Watson 2017,ACTRN12616000475448,Watson 2017,Control,52,43,-0.008,0.042,Femoral BMD,,65,older adults,34,100%,0.682,0.059,Australia,36,30,2,0,23.7,Healthy BMI,Reported,Not reported,Low,Low,Low,Low,Low,Low
657,Watson 2017,ACTRN12616000475448,Watson 2017,Combined aerobic/resistance,49,43,0.001,0.04,Femoral BMD,,65,older adults,34,100%,0.699,0.086,Australia,240,30,2,480,24.5,Healthy BMI,Reported,Not reported,Low,Low,Low,Low,Low,Low
658,Watson 2017,ACTRN12616000475448,Watson 2017,Control,52,43,-0.009,0.069,Lumbar BMD,,65,older adults,34,100%,0.816,0.097,Australia,36,30,2,0,23.7,Healthy BMI,Reported,Not reported,Low,Low,Low,Low,Low,Low
659,Watson 2017,ACTRN12616000475448,Watson 2017,Combined aerobic/resistance,49,43,0.022,0.038,Lumbar BMD,,65,older adults,34,100%,0.823,0.108,Australia,240,30,2,480,24.5,Healthy BMI,Reported,Not reported,Low,Low,Low,Low,Low,Low
660,Wayne 2012,NCT01039012,Wayne 2012,Control,43,43,-0.007,0.032,Femoral BMD,,60.4,older adults,38,100%,0.692,0.068,China,54,45,4,0,24.5,Healthy BMI,Reported,Reported,Low,Some concern,Low,Low,Low,Low
661,Wayne 2012,NCT01039012,Wayne 2012,Mind-body exercises,43,43,0.001,0.03,Femoral BMD,,58.8,adults,38,100%,0.68,0.063,China,135,45,4,540,25.8,Overweight,Reported,Reported,Low,Some concern,Low,Low,Low,Low
662,Wayne 2012,NCT01039012,Wayne 2012,Control,43,43,-0.01,0.062,Lumbar BMD,,60.4,older adults,38,100%,0.901,0.128,China,54,45,4,0,24.5,Healthy BMI,Reported,Reported,Low,Some concern,Low,Low,Low,Low
663,Wayne 2012,NCT01039012,Wayne 2012,Mind-body exercises,43,43,-0.009,0.034,Lumbar BMD,,58.8,adults,38,100%,0.898,0.07,China,135,45,4,540,25.8,Overweight,Reported,Reported,Low,Some concern,Low,Low,Low,Low
664,Wayne 2012,NCT01039012,Wayne 2012,Control,43,43,-0.002,0.019,Hip total BMD,,60.4,older adults,38,100%,0.837,0.077,China,54,45,4,0,24.5,Healthy BMI,Reported,Reported,Low,Some concern,Low,Low,Low,Low
665,Wayne 2012,NCT01039012,Wayne 2012,Mind-body exercises,43,43,0.003,0.018,Hip total BMD,,58.8,adults,38,100%,0.829,0.073,China,135,45,4,540,25.8,Overweight,Reported,Reported,Low,Some concern,Low,Low,Low,Low
666,Whiteford 2010,,Whiteford 2010,Control,70,66,-0.006,0.13,Femoral BMD,,64,older adults,52,0%,0.972,0.136,Australia,72,60,3,0,26.3,Overweight,Not reported,Not reported,Low,Low,Low,Low,Low,Low
667,Whiteford 2010,,Whiteford 2010,Resistance,73,61,0.003,0.14,Femoral BMD,,64,older adults,52,0%,0.966,0.142,Australia,270,60,3,810,26.4,Overweight,Not reported,Not reported,Low,Low,Low,Low,Low,Low
668,Whiteford 2010,,Whiteford 2010,Control,70,66,-0.004,0.189,Femoral BMD,,64,older adults,26,0%,0.972,0.136,Australia,72,60,3,0,26.3,Overweight,Not reported,Not reported,Low,Low,Low,Low,Low,Low
669,Whiteford 2010,,Whiteford 2010,Resistance,73,61,-0.003,0.199,Femoral BMD,,64,older adults,26,0%,0.966,0.142,Australia,270,60,3,810,26.4,Overweight,Not reported,Not reported,Low,Low,Low,Low,Low,Low
670,Whiteford 2010,,Whiteford 2010,Control,70,66,,,Fracture,0,64,older adults,52,0%,0.972,0.136,Australia,72,60,3,0,26.3,Overweight,Not reported,Not reported,Low,Low,Low,Low,Low,Low
671,Whiteford 2010,,Whiteford 2010,Resistance,73,61,,,Fracture,1,64,older adults,52,0%,0.966,0.142,Australia,270,60,3,810,26.4,Overweight,Not reported,Not reported,Low,Low,Low,Low,Low,Low
672,Whiteford 2010,,Whiteford 2010,Control,70,66,0.001,0.17,Lumbar BMD,,64,older adults,52,0%,1.245,0.168,Australia,72,60,3,0,26.3,Overweight,Not reported,Not reported,Low,Low,Low,Low,Low,Low
673,Whiteford 2010,,Whiteford 2010,Resistance,73,61,-0.001,0.16,Lumbar BMD,,64,older adults,52,0%,1.236,0.189,Australia,270,60,3,810,26.4,Overweight,Not reported,Not reported,Low,Low,Low,Low,Low,Low
674,Whiteford 2010,,Whiteford 2010,Control,70,66,0.007,0.168,Lumbar BMD,,64,older adults,26,0%,1.245,0.168,Australia,72,60,3,0,26.3,Overweight,Not reported,Not reported,Low,Low,Low,Low,Low,Low
675,Whiteford 2010,,Whiteford 2010,Resistance,73,61,0,0.267,Lumbar BMD,,64,older adults,26,0%,1.236,0.189,Australia,270,60,3,810,26.4,Overweight,Not reported,Not reported,Low,Low,Low,Low,Low,Low
676,Whiteford 2010,,Whiteford 2010,Control,70,66,0.009,0.13,Hip total BMD,,64,older adults,52,0%,1.041,0.142,Australia,72,60,3,0,26.3,Overweight,Not reported,Not reported,Low,Low,Low,Low,Low,Low
677,Whiteford 2010,,Whiteford 2010,Resistance,73,61,0.009,0.16,Hip total BMD,,64,older adults,52,0%,1.045,0.161,Australia,270,60,3,810,26.4,Overweight,Not reported,Not reported,Low,Low,Low,Low,Low,Low
678,Whiteford 2010,,Whiteford 2010,Control,70,66,0.004,0.195,Hip total BMD,,64,older adults,26,0%,1.041,0.142,Australia,72,60,3,0,26.3,Overweight,Not reported,Not reported,Low,Low,Low,Low,Low,Low
679,Whiteford 2010,,Whiteford 2010,Resistance,73,61,0.002,0.224,Hip total BMD,,64,older adults,26,0%,1.045,0.161,Australia,270,60,3,810,26.4,Overweight,Not reported,Not reported,Low,Low,Low,Low,Low,Low
680,Woo 2007F,,Woo 2007,Control,30,30,0.007,0.019,Lumbar BMD,,69.3,older adults,52,100%,0.75,0.09,China,36,30,3,0,23.9,Healthy BMI,Not reported,Not reported,Low,Some concern,Low,Low,Low,Some concern
681,Woo 2007F,,Woo 2007,Mind-body exercises,30,28,0.001,0.019,Lumbar BMD,,69.7,older adults,52,100%,0.68,0.09,China,180,60,3,540,23.6,Healthy BMI,Not reported,Not reported,Low,Some concern,Low,Low,Low,Some concern
682,Woo 2007F,,Woo 2007,Resistance,30,30,0.014,0.018,Lumbar BMD,,69.7,older adults,52,100%,0.69,0.12,China,105,30,3,315,24.1,Healthy BMI,Not reported,Not reported,Low,Some concern,Low,Low,Low,Some concern
683,Woo 2007M,,Woo 2007,Control,30,29,0.005,0.019,Lumbar BMD,,68.1,older adults,52,0%,0.96,0.15,China,36,30,3,0,24.9,Healthy BMI,Not reported,Not reported,Low,Some concern,Low,Low,Low,Some concern
684,Woo 2007M,,Woo 2007,Mind-body exercises,30,30,0.013,0.019,Lumbar BMD,,68.2,older adults,52,0%,0.95,0.16,China,180,60,3,540,24.6,Healthy BMI,Not reported,Not reported,Low,Some concern,Low,Low,Low,Some concern
685,Woo 2007M,,Woo 2007,Resistance,30,29,0.013,0.018,Lumbar BMD,,68.7,older adults,52,0%,0.99,0.16,China,105,30,3,315,24.4,Healthy BMI,Not reported,Not reported,Low,Some concern,Low,Low,Low,Some concern
686,Wu 2006,,Wu 2006,Control,34,29,-0.009,0.12,Lumbar BMD,,54.9,adults,52,100%,0.907,0.13,Japan,72,60,3,0,20.9,Healthy BMI,Not reported,Not reported,Low,Some concern,Low,Low,Low,Some concern
687,Wu 2006,,Wu 2006,Brisk walking or jogging,34,24,-0.014,0.13,Lumbar BMD,,55.2,adults,52,100%,0.879,0.12,Japan,258,60,3,774,22.4,Healthy BMI,Not reported,Not reported,Low,Some concern,Low,Low,Low,Some concern
688,Wu 2006,,Wu 2006,Control,34,29,-0.003,0.023,Lumbar BMD,,54.9,adults,26,100%,0.907,0.13,Japan,72,60,3,0,20.9,Healthy BMI,Not reported,Not reported,Low,Some concern,Low,Low,Low,Some concern
689,Wu 2006,,Wu 2006,Brisk walking or jogging,34,24,-0.01,0.019,Lumbar BMD,,55.2,adults,26,100%,0.879,0.12,Japan,258,60,3,774,22.4,Healthy BMI,Not reported,Not reported,Low,Some concern,Low,Low,Low,Some concern
690,Wu 2006,,Wu 2006,Control,34,29,-0.009,0.12,Femoral BMD,,54.9,adults,52,100%,0.676,0.114,Japan,72,60,3,0,20.9,Healthy BMI,Not reported,Not reported,Low,Some concern,Low,Low,Low,Some concern
691,Wu 2006,,Wu 2006,Brisk walking or jogging,34,24,-0.005,0.11,Femoral BMD,,55.2,adults,52,100%,0.671,0.116,Japan,258,60,3,774,22.4,Healthy BMI,Not reported,Not reported,Low,Some concern,Low,Low,Low,Some concern
692,Wu 2006,,Wu 2006,Control,34,29,-0.004,0.032,Femoral BMD,,54.9,adults,26,100%,0.676,0.114,Japan,72,60,3,0,20.9,Healthy BMI,Not reported,Not reported,Low,Some concern,Low,Low,Low,Some concern
693,Wu 2006,,Wu 2006,Brisk walking or jogging,34,24,0,0.031,Femoral BMD,,55.2,adults,26,100%,0.671,0.116,Japan,258,60,3,774,22.4,Healthy BMI,Not reported,Not reported,Low,Some concern,Low,Low,Low,Some concern
694,Wu 2006,,Wu 2006,Control,34,29,-0.02,0.13,Hip total BMD,,54.9,adults,52,100%,0.787,0.126,Japan,72,60,3,0,20.9,Healthy BMI,Not reported,Not reported,Low,Some concern,Low,Low,Low,Some concern
695,Wu 2006,,Wu 2006,Brisk walking or jogging,34,24,-0.008,0.11,Hip total BMD,,55.2,adults,52,100%,0.78,0.114,Japan,258,60,3,774,22.4,Healthy BMI,Not reported,Not reported,Low,Some concern,Low,Low,Low,Some concern
696,Wu 2006,,Wu 2006,Control,34,29,-0.008,0.018,Hip total BMD,,54.9,adults,26,100%,0.787,0.126,Japan,60,50,3,0,20.9,Healthy BMI,Not reported,Not reported,Low,Some concern,Low,Low,Low,Some concern
697,Wu 2006,,Wu 2006,Brisk walking or jogging,34,24,-0.004,0.016,Hip total BMD,,55.2,adults,26,100%,0.78,0.114,Japan,258,50,3,774,22.4,Healthy BMI,Not reported,Not reported,Low,Some concern,Low,Low,Low,Some concern
698,Yang 2025,NCT06529172.,Yang 2025,Control,23,20,-0.02,0.32,Lumbar BMD,,64.7,older adults,24,100%,0.92,0.23,China,48,40,3,0,23.9,Healthy BMI,Not reported,Not reported,Low,Low,Low,Low,Low,Low
699,Yang 2025,NCT06529172.,Yang 2025,Resistance,23,22,0.1,0.28,Lumbar BMD,,65.2,older adults,24,100%,0.92,0.21,China,140,40,3,420,23.9,Healthy BMI,Not reported,Not reported,Low,Low,Low,Low,Low,Low
700,Yang 2025,NCT06529172.,Yang 2025,Mind-body exercises,23,21,0.12,0.24,Lumbar BMD,,65.1,older adults,24,100%,0.91,0.16,China,158.5,40,3,475,23.7,Healthy BMI,Not reported,Not reported,Low,Low,Low,Low,Low,Low
701,Yang 2025,NCT06529172.,Yang 2025,Control,23,20,0.01,0.25,Femoral BMD,,64.7,older adults,24,100%,0.84,0.18,China,48,40,3,0,23.9,Healthy BMI,Not reported,Not reported,Low,Low,Low,Low,Low,Low
702,Yang 2025,NCT06529172.,Yang 2025,Resistance,23,22,0.03,0.29,Femoral BMD,,65.2,older adults,24,100%,0.82,0.19,China,140,40,3,420,23.9,Healthy BMI,Not reported,Not reported,Low,Low,Low,Low,Low,Low
703,Yang 2025,NCT06529172.,Yang 2025,Mind-body exercises,23,21,0.02,0.27,Femoral BMD,,65.1,older adults,24,100%,0.81,0.19,China,158.5,40,3,475,23.7,Healthy BMI,Not reported,Not reported,Low,Low,Low,Low,Low,Low
704,Yoo 2010,,Yoo 2010,Control,14,10,-0.017,0.133,Femoral BMD,,71.1,older adults,12,100%,0.746,0.14,Korea,72,60,3,0,25.4,Overweight,Not reported,Not reported,Some concern,Some concern,Low,Low,High,High
705,Yoo 2010,,Yoo 2010,Brisk walking or jogging,14,11,-0.002,0.126,Femoral BMD,,70.9,older adults,12,100%,0.772,0.119,Korea,194,60,3,581,26.6,Overweight,Not reported,Not reported,Some concern,Some concern,Low,Low,High,High
706,Yoo 2010,,Yoo 2010,Control,14,10,0.009,0.17,Lumbar BMD,,71.1,older adults,12,100%,1.001,0.17,Korea,72,60,3,0,25.4,Overweight,Not reported,Not reported,Some concern,Some concern,Low,Low,High,High
707,Yoo 2010,,Yoo 2010,Brisk walking or jogging,14,11,-0.02,0.18,Lumbar BMD,,70.9,older adults,12,100%,1.076,0.19,Korea,193.5,60,3,581,26.6,Overweight,Not reported,Not reported,Some concern,Some concern,Low,Low,High,High
708,Young 2007,,Young 2007,Combined aerobic/resistance,15,9,-0.009,0.03,Femoral BMD,,61.5,older adults,52,100%,0.86,0.141,Australia,330,55,1,330,26.8,Overweight,Not reported,Not reported,Low,Low,Some concern,Low,High,High
709,Young 2007,,Young 2007,Resistance,15,12,-0.004,0.04,Femoral BMD,,61.5,older adults,52,100%,0.752,0.13,Australia,300,50,1,300,26,Overweight,Not reported,Not reported,Low,Low,Some concern,Low,High,High
710,Young 2007,,Young 2007,Mixed aerobic exercises,15,10,-0.026,0.03,Femoral BMD,,61.9,older adults,52,100%,0.792,0.071,Australia,200,45,1,200,26.6,Overweight,Not reported,Not reported,Low,Low,Some concern,Low,High,High
711,Young 2007,,Young 2007,Combined aerobic/resistance,15,9,0,0.04,Lumbar BMD,,61.5,older adults,52,100%,1.142,0.17,Australia,330,55,1,330,26.8,Overweight,Not reported,Not reported,Low,Low,Some concern,Low,High,High
712,Young 2007,,Young 2007,Resistance,15,12,-0.011,0.04,Lumbar BMD,,61.5,older adults,52,100%,0.903,0.17,Australia,300,50,1,300,26,Overweight,Not reported,Not reported,Low,Low,Some concern,Low,High,High
713,Young 2007,,Young 2007,Mixed aerobic exercises,15,10,0.005,0.05,Lumbar BMD,,61.9,older adults,52,100%,0.923,0.13,Australia,200,45,1,200,26.6,Overweight,Not reported,Not reported,Low,Low,Some concern,Low,High,High
